Date,Stock Price (S),Strike Price (K),Time to Expiration (T),Risk-Free Rate (r),Volatility (Ïƒ),Option Type
2024-06-01,165.00,160,0.25,0.045,0.25,call
2024-06-01,165.00,170,0.25,0.045,0.27,call
2024-06-01,165.00,180,0.25,0.045,0.30,call
2024-06-01,165.00,160,0.25,0.045,0.25,put
2024-06-01,165.00,170,0.25,0.045,0.27,put
2024-06-01,165.00,180,0.25,0.045,0.30,put
2024-07-01,170.00,165,0.20,0.045,0.26,call
2024-07-01,170.00,175,0.20,0.045,0.28,call
2024-07-01,170.00,185,0.20,0.045,0.31,call
2024-07-01,170.00,165,0.20,0.045,0.26,put
2024-07-01,170.00,175,0.20,0.045,0.28,put
2024-07-01,170.00,185,0.20,0.045,0.31,put
2024-08-01,175.00,170,0.15,0.045,0.27,call
2024-08-01,175.00,180,0.15,0.045,0.29,call
2024-08-01,175.00,190,0.15,0.045,0.32,call
2024-08-01,175.00,170,0.15,0.045,0.27,put
2024-08-01,175.00,180,0.15,0.045,0.29,put
2024-08-01,175.00,190,0.15,0.045,0.32,put
